id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,rating,weight,network,network_name,network_country,network_country_code,webChannel_name,externals,image,summary,Drama,Science-Fiction,Thriller,Action,Crime,Horror,Romance,Adventure,Espionage,Music,Mystery,Supernatural,Fantasy,Family,Anime,Comedy,History,Medical,Legal,Western,War,Sports,Food,Travel,Adult,Children,DIY,Nature
46604,https://www.tvmaze.com/shows/46604/delfin,Дельфин,Scripted,Russian,"['Crime', 'Mystery']",Running,50.0,50.0,2020-03-09,,https://www.ntv.ru/serial/Dolphin/,,10,"{'id': 300, 'name': 'НТВ', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}",НТВ,Russian Federation,RU,,"{'tvrage': None, 'thetvdb': None, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/245/613090.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/245/613090.jpg'}",,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
11023,https://www.tvmaze.com/shows/11023/all-american-new-year,All-American New Year,Variety,English,[],Running,180.0,147.0,2004-12-31,,,,52,"{'id': 185, 'name': 'Fox News Channel', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://www.foxnews.com/'}",Fox News Channel,United States,US,,"{'tvrage': None, 'thetvdb': None, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/437/1093891.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/437/1093891.jpg'}","<p>Each year, Fox News rings in the new year live from Times Square in New York on New Year's Eve, with live musical performances and contributions from FNC's correspondents on it's <b>All-American New Year</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
60668,https://www.tvmaze.com/shows/60668/the-andy-warhol-diaries,The Andy Warhol Diaries,Documentary,English,[],Ended,,66.0,2022-03-09,2022-03-09,https://www.netflix.com/title/81026142,,51,,,,,Netflix,"{'tvrage': None, 'thetvdb': 416928, 'imdb': 'tt18082212'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/398/995335.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/398/995335.jpg'}","<p>After he's shot in 1968, Andy Warhol begins documenting his life and feelings. Those diaries, and this series, reveal the secrets behind his persona.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
69496,https://www.tvmaze.com/shows/69496/tommy-oscar,Tommy & Oscar,Animation,Italian,"['Comedy', 'Family', 'Science-Fiction']",Ended,25.0,25.0,1999-12-17,1999-12-24,https://www.raiplay.it/programmi/tommyeoscar,4.5,53,"{'id': 390, 'name': 'Rai 1', 'country': {'name': 'Italy', 'code': 'IT', 'timezone': 'Europe/Rome'}, 'officialSite': None}",Rai 1,Italy,IT,,"{'tvrage': None, 'thetvdb': 321265, 'imdb': 'tt1018851'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/466/1165755.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/466/1165755.jpg'}","<p>Oscar, an adorable and bizarre alien from Pianota, the planet of Music, is forced to land on Earth due to a failure of his spacecraft. Here he makes friends with Tommy, a courageous and charismatic 10-year-old boy who receives a series of ultra-technological gadgets from his inventor uncle, Professor Leonard, for each mission. The two, united by their passion for music and love for all races, experience exciting adventures together in all corners of the world, solving mysteries and saving people in danger.</p>",,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
46939,https://www.tvmaze.com/shows/46939/poison,Poison,Scripted,Hindi,"['Action', 'Crime', 'Thriller']",Running,35.0,35.0,2019-04-21,,https://www.zee5.com/zee5originals/details/poison/0-6-1558,,12,,,,,ZEE5,"{'tvrage': None, 'thetvdb': None, 'imdb': 'tt10290114'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/248/621257.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/248/621257.jpg'}","<p>After getting released from jail, Ranveer moves to Goa to seek revenge on his enemies. Meanwhile, DSP Vikram sets his eyes on Antonio Verghese, a gangster who operates from Goa. The plot thickens when the lives of these three men are entwined.</p>",,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5795,https://www.tvmaze.com/shows/5795/man-v-food,Man v. Food,Reality,English,"['Food', 'Travel']",Ended,25.0,25.0,2008-12-03,2012-04-11,http://www.travelchannel.com/shows/man-v-food-1,8.1,46,"{'id': 82, 'name': 'Travel Channel', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': None}",Travel Channel,United States,US,,"{'tvrage': 20717, 'thetvdb': 84006, 'imdb': 'tt1342711'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/23/57828.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/23/57828.jpg'}","<p>Every region has its own local culture and flavor. One of the best ways for a traveler to immerse him or herself in new destinations is to taste these unique dishes. This taste exploration allows even the strictest of dieters the freedom to indulge. In the new series, Travel Channel's <b>Man v. Food</b>, host Adam Richman sets out to travel the country in search of the best places to do some serious indulging.</p>",,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
3627,https://www.tvmaze.com/shows/3627/de-lamas,De Lama's,Variety,Dutch,['Comedy'],Ended,60.0,60.0,2004-06-28,2008-11-07,http://factsheets.bnn.nl/56/de-lama-s-/home,,35,"{'id': 1020, 'name': 'NPO 3', 'country': {'name': 'Netherlands', 'code': 'NL', 'timezone': 'Europe/Amsterdam'}, 'officialSite': None}",NPO 3,Netherlands,NL,,"{'tvrage': 19500, 'thetvdb': 81043, 'imdb': 'tt0455061'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/18/47028.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/18/47028.jpg'}","<p>An Improvisation Comedy group performing impressive, and overall hilarious impressions, parodies and improvisation comedy, often using random artifacts to act out situations.</p>",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
42040,https://www.tvmaze.com/shows/42040/eretlenek,Éretlenek,Scripted,Hungarian,"['Drama', 'Comedy']",Ended,26.0,26.0,1995-04-14,1996-12-22,https://www.mediaklikk.hu/2014/02/24/eretlenek/,,15,"{'id': 461, 'name': 'M2', 'country': {'name': 'Hungary', 'code': 'HU', 'timezone': 'Europe/Budapest'}, 'officialSite': None}",M2,Hungary,HU,,"{'tvrage': None, 'thetvdb': 343827, 'imdb': 'tt0111953'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/460/1151871.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/460/1151871.jpg'}",,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
29252,https://www.tvmaze.com/shows/29252/the-superstars,The Superstars,Game Show,English,['Sports'],Ended,60.0,60.0,2009-06-23,2009-08-04,,,11,"{'id': 3, 'name': 'ABC', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://abc.com/'}",ABC,United States,US,,"{'tvrage': None, 'thetvdb': 122421, 'imdb': 'tt1447930'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/116/291924.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/116/291924.jpg'}",<p><b>The Superstars</b> pitted athletes from all different sports against each other to determine the best athlete in the world. Eight celebrities were paired with eight professional male and female athletes to compete against each other in varying sporting events.</p>,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
47105,https://www.tvmaze.com/shows/47105/i-do-redo,"I Do, Redo",Reality,English,['Romance'],Running,30.0,30.0,2020-03-22,,https://www.bellmedia.ca/the-lede/tv/ctv/i-do-redo/,,6,"{'id': 48, 'name': 'CTV', 'country': {'name': 'Canada', 'code': 'CA', 'timezone': 'America/Halifax'}, 'officialSite': 'https://www.ctv.ca/'}",CTV,Canada,CA,,"{'tvrage': None, 'thetvdb': None, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/250/625918.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/250/625918.jpg'}","<p>In <b>I Do, Redo</b>, internationally acclaimed wedding expert and celebrity stylist Jessica Mulroney revisits first-time wedding disasters before re-making the wedding dreams of 10 devoted couples. </p>",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
45802,https://www.tvmaze.com/shows/45802/hentatsu,Hentatsu,Animation,Japanese,"['Adventure', 'Anime', 'Mystery']",Running,1.0,1.0,2020-01-04,,https://hentatsu.com/,,28,"{'id': 132, 'name': 'Tokyo MX', 'country': {'name': 'Japan', 'code': 'JP', 'timezone': 'Asia/Tokyo'}, 'officialSite': None}",Tokyo MX,Japan,JP,,"{'tvrage': None, 'thetvdb': 375216, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/236/590534.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/236/590534.jpg'}","<p><b>Hentatsu</b> depicts the daily conversation between director Tatsuki and Yoshihisa Isa, the two heads of the animation studio ""Irodori"", with them taking on the characters of a cat and a demon girl.</p>",,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,
